keyword,competitor_domain,competitor_position,volume,competitor_traffic,competitor_url,keyword_difficulty,intent,ledsone_position,opportunity_score
"bulb","ledhut.co.uk",1,8100,1069,"https://ledhut.co.uk/collections/shop-led-bulbs-by-fitting",47,"1","",81000
"led lights","ledhut.co.uk",6,33100,728,"https://ledhut.co.uk/",50,"1","",55166.67
"led light bulbs","ledhut.co.uk",1,5400,1339,"https://ledhut.co.uk/collections/led-light-bulbs",33,"1","",54000
"led bulbs","ledhut.co.uk",1,5400,442,"https://ledhut.co.uk/collections/led-light-bulbs",33,"1","",54000
"e27 led bulb","ledhut.co.uk",1,5400,351,"https://ledhut.co.uk/collections/e27-led-bulbs-es",12,"1",22,54000
"gu10 led bulbs","ledhut.co.uk",1,5400,351,"https://ledhut.co.uk/collections/gu10-led-bulbs",17,"1","",54000
"light bulbs led bulbs","ledhut.co.uk",1,4400,1091,"https://ledhut.co.uk/collections/led-light-bulbs",30,"1","",44000
"gu10 bulbs","ledhut.co.uk",1,4400,360,"https://ledhut.co.uk/collections/gu10-led-bulbs",16,"1","",44000
"gu10","ledhut.co.uk",1,4400,286,"https://ledhut.co.uk/collections/gu10-led-bulbs",15,"1","",44000
"gu10 bulb","ledhut.co.uk",2,8100,664,"https://ledhut.co.uk/collections/gu10-led-bulbs",15,"1","",40500
"light with bulb","ledhut.co.uk",3,12100,290,"https://ledhut.co.uk/collections/led-light-bulbs",12,"1","",40333.33
"led","ledhut.co.uk",5,18100,343,"https://ledhut.co.uk/",49,"1","",36200
"bulbs with led","ledhut.co.uk",1,3600,892,"https://ledhut.co.uk/collections/led-light-bulbs",34,"1","",36000
"led in bulb","ledhut.co.uk",1,3600,475,"https://ledhut.co.uk/collections/led-light-bulbs",26,"1","",36000
"led lamp light bulb","ledhut.co.uk",1,3600,295,"https://ledhut.co.uk/collections/led-light-bulbs",32,"1","",36000
"led light light bulbs","ledhut.co.uk",1,3600,234,"https://ledhut.co.uk/collections/led-light-bulbs",28,"1","",36000
"led bulb bulb","ledhut.co.uk",1,3600,234,"https://ledhut.co.uk/collections/led-light-bulbs",31,"1","",36000
"led bulb led lighting","ledhut.co.uk",1,3600,158,"https://ledhut.co.uk/collections/led-light-bulbs",34,"1","",36000
"e27 led lamp bulb","ledhut.co.uk",1,3600,158,"https://ledhut.co.uk/collections/e27-led-bulbs-es",13,"1","",36000
"led e27 led","ledhut.co.uk",1,3600,158,"https://ledhut.co.uk/collections/e27-led-bulbs-es",11,"1","",36000
"led bulb and","ledhut.co.uk",1,3600,108,"https://ledhut.co.uk/collections/led-light-bulbs",37,"1","",36000
"light bulb","ledhut.co.uk",4,12100,290,"https://ledhut.co.uk/collections/shop-led-bulbs-by-fitting",28,"3","",30250
"gu10 led lights","ledhut.co.uk",1,2900,719,"https://ledhut.co.uk/collections/gu10-led-bulbs",15,"0","",29000
"led bulb","ledhut.co.uk",1,2900,188,"https://ledhut.co.uk/collections/led-light-bulbs",28,"1","",29000
"led lamp bulb","ledhut.co.uk",1,2900,188,"https://ledhut.co.uk/collections/led-light-bulbs",32,"1","",29000
"light bulbs","ledhut.co.uk",5,12100,290,"https://ledhut.co.uk/collections/shop-led-bulbs-by-fitting",25,"1","",24200
"led bulb led","ledhut.co.uk",1,2400,316,"https://ledhut.co.uk/collections/led-light-bulbs",28,"1","",24000
"gu10 light bulb","ledhut.co.uk",1,2400,316,"https://ledhut.co.uk/collections/gu10-led-bulbs",23,"1","",24000
"led flood lights","ledhut.co.uk",1,2400,196,"https://ledhut.co.uk/collections/led-flood-lights",11,"1","",24000
"led lamp led lamp","ledhut.co.uk",1,2400,105,"https://ledhut.co.uk/collections/led-light-bulbs",22,"1","",24000
"flood light lights","ledhut.co.uk",2,4400,286,"https://ledhut.co.uk/collections/led-flood-lights",20,"1","",22000
