keyword,competitor_domain,competitor_position,volume,competitor_traffic,competitor_url,keyword_difficulty,intent,ledsone_position,opportunity_score,snapshot_date
"bulb",ledhut.co.uk,1,8100,1069,"https://ledhut.co.uk/collections/shop-led-bulbs-by-fitting",35,1,,81000,2026-08-17
"led light bulbs",ledhut.co.uk,1,5400,442,"https://ledhut.co.uk/collections/led-light-bulbs",29,1,,54000,2026-08-17
"led bulbs",ledhut.co.uk,1,5400,442,"https://ledhut.co.uk/collections/led-light-bulbs",38,1,,54000,2026-08-17
"e27 led bulb",ledhut.co.uk,1,5400,351,"https://ledhut.co.uk/collections/e27-led-bulbs-es",12,1,22,54000,2026-08-17
"ledowe",ledhut.co.uk,3,14800,651,"https://ledhut.co.uk/collections/led-light-bulbs",47,1,,49333.33,2026-08-17
"light bulbs led bulbs",ledhut.co.uk,1,4400,1091,"https://ledhut.co.uk/collections/led-light-bulbs",30,1,,44000,2026-08-17
"gu10",ledhut.co.uk,1,4400,580,"https://ledhut.co.uk/collections/gu10-led-bulbs",16,1,,44000,2026-08-17
"gu10 bulbs",ledhut.co.uk,1,4400,360,"https://ledhut.co.uk/collections/gu10-led-bulbs",16,1,,44000,2026-08-17
"gu10 bulb",ledhut.co.uk,2,8100,526,"https://ledhut.co.uk/collections/gu10-led-bulbs",15,1,,40500,2026-08-17
"light bulbs",ledhut.co.uk,3,12100,532,"https://ledhut.co.uk/collections/shop-led-bulbs-by-fitting",38,1,,40333.33,2026-08-17
"light with bulb",ledhut.co.uk,3,12100,290,"https://ledhut.co.uk/collections/shop-led-bulbs-by-fitting",13,1,,40333.33,2026-08-17
"led lights",ledhut.co.uk,9,33100,297,"https://ledhut.co.uk/",50,1,,36777.78,2026-08-17
"led spotlights",ledhut.co.uk,1,3600,892,"https://ledhut.co.uk/collections/led-spotlights",15,1,,36000,2026-08-17
"led light light bulbs",ledhut.co.uk,1,3600,475,"https://ledhut.co.uk/collections/led-light-bulbs",28,1,,36000,2026-08-17
"led in bulb",ledhut.co.uk,1,3600,295,"https://ledhut.co.uk/collections/led-light-bulbs",28,1,,36000,2026-08-17
"bulbs with led",ledhut.co.uk,1,3600,295,"https://ledhut.co.uk/collections/led-light-bulbs",29,1,,36000,2026-08-17
"led bulb and",ledhut.co.uk,1,3600,295,"https://ledhut.co.uk/collections/led-light-bulbs",27,1,,36000,2026-08-17
"led bulb led lighting",ledhut.co.uk,1,3600,234,"https://ledhut.co.uk/collections/led-light-bulbs",35,1,,36000,2026-08-17
"led lamp light bulb",ledhut.co.uk,1,3600,234,"https://ledhut.co.uk/collections/led-light-bulbs",22,1,,36000,2026-08-17
"led bulb bulb",ledhut.co.uk,1,3600,234,"https://ledhut.co.uk/collections/led-light-bulbs",31,1,,36000,2026-08-17
"e27 led lamp bulb",ledhut.co.uk,1,3600,158,"https://ledhut.co.uk/collections/e27-led-bulbs-es",13,1,,36000,2026-08-17
"led e27 led",ledhut.co.uk,1,3600,158,"https://ledhut.co.uk/collections/e27-led-bulbs-es",11,1,,36000,2026-08-17
"led",ledhut.co.uk,6,18100,434,"https://ledhut.co.uk/collections/led-light-bulbs",47,1,,30166.67,2026-08-17
"gu10 led lights",ledhut.co.uk,1,2900,719,"https://ledhut.co.uk/collections/gu10-led-bulbs",15,0,,29000,2026-08-17
"led bulb",ledhut.co.uk,1,2900,188,"https://ledhut.co.uk/collections/led-light-bulbs",28,1,,29000,2026-08-17
"led lamp bulb",ledhut.co.uk,1,2900,188,"https://ledhut.co.uk/collections/led-light-bulbs",32,1,,29000,2026-08-17
