snapshot_date,keyword,position,prev_position,volume,cpc,url,traffic,keyword_difficulty,intent
2026-08-17,ledsone,1,1,590,1.77,https://ledsone.co.uk/,472,41.00,2
2026-08-17,e27 bulb,6,6,18100,0.28,https://ledsone.co.uk/blogs/new/e27-bulb-guide,434,16.00,1
2026-08-17,wire connectors,3,3,4400,0.27,https://ledsone.co.uk/collections/wire-connectors,286,23.00,1
2026-08-17,intitle:ledsone,1,1,170,1.77,https://ledsone.co.uk/,136,37.00,2
2026-08-17,spider lights,1,1,720,0.45,https://ledsone.co.uk/collections/spider-light,95,9.00,1
2026-08-17,ledstone,1,1,110,3.21,https://ledsone.co.uk/,88,34.00,2
2026-08-17,plug in pendant light,3,3,1300,0.31,https://ledsone.co.uk/collections/plugin-lighting,84,15.00,1
2026-08-17,ledsone uk limited,1,1,90,1.40,https://ledsone.co.uk/,72,0.0,2
2026-08-17,ledsone lighting,1,1,90,0.87,https://ledsone.co.uk/,72,41.00,2
2026-08-17,ledsone ltd,1,1,90,1.15,https://ledsone.co.uk/,72,38.00,2
2026-08-17,wiring and connectors,2,2,2900,0.25,https://ledsone.co.uk/collections/wire-connectors,69,31.00,1
2026-08-17,bayonet light bulb,5,5,2900,0.30,https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,69,23.00,1
2026-08-17,retro light shades,2,2,480,0.24,https://ledsone.co.uk/collections/lampshades/metal-pendant-light,63,13.00,1
2026-08-17,b22 bulb,8,8,4400,0.31,https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,57,19.00,1
2026-08-17,3 core cable,6,6,2400,0.22,https://ledsone.co.uk/blogs/new/understanding-3-core-electrical-cables-types-uses-and-color-codes,52,15.00,1
2026-08-17,spider light fitting,1,1,390,0.36,https://ledsone.co.uk/collections/spider-light,51,9.00,"1,3"
2026-08-17,plug in hanging light fixtures,2,2,590,0.32,https://ledsone.co.uk/collections/plugin-lighting,48,12.00,0
2026-08-17,white blackboard,9,9,3600,0.61,https://ledsone.co.uk/collections/white-board,46,26.00,1
2026-08-17,retro lamp shades,2,2,720,0.23,https://ledsone.co.uk/collections/lampshades,46,22.00,"1,3"
2026-08-17,bulbs for dimmers,2,2,1000,0.18,https://ledsone.co.uk/collections/dimmable-led-bulbs,44,17.00,1
2026-08-17,what is an e27 bulb,1,1,320,0.31,https://ledsone.co.uk/blogs/new/e27-bulb-guide,42,11.00,1
2026-08-17,lamp shade holder,2,2,320,0.20,https://ledsone.co.uk/products/screw-e27-plain-holder-white-with-ring-bakelite-lamp-holder,42,8.00,1
2026-08-17,led rope light fixture,1,1,320,0.37,https://ledsone.co.uk/collections/hemp-collection,42,10.00,1
2026-08-17,led transformer 24v,1,1,320,0.62,https://ledsone.co.uk/collections/dc-24v-transformer,42,8.00,0
2026-08-17,brackets for ceiling lights,2,2,320,0.22,https://ledsone.co.uk/collections/ceiling-rose-brackets,42,28.00,0
2026-08-17,e27 edison screw bulb,6,6,1300,0.28,https://ledsone.co.uk/blogs/new/e27-bulb-guide,39,12.00,1
2026-08-17,24v transformer,2,2,480,0.64,https://ledsone.co.uk/collections/dc-24v-transformer,39,19.00,1
2026-08-17,plug in hanging pendant lamp,4,4,1300,0.32,https://ledsone.co.uk/collections/plugin-lighting,39,10.00,1
2026-08-17,spider light,3,3,880,0.45,https://ledsone.co.uk/collections/spider-light,38,7.00,"1,3"
2026-08-17,e27 light bulb,10,10,2900,0.26,https://ledsone.co.uk/collections/e27-base-bulb,37,22.00,1
2026-08-17,screw light bulbs e27,7,7,1600,0.31,https://ledsone.co.uk/blogs/new/e27-bulb-guide,35,20.00,1
2026-08-17,hanging lamp plug,4,4,1300,0.31,https://ledsone.co.uk/collections/plugin-lighting,31,10.00,1
2026-08-17,2 core cable,5,5,1300,0.29,https://ledsone.co.uk/blogs/understanding-2-core-electrical-cable-the-essentials-1/understanding-2-core-electrical-cable-the-essentials,31,9.00,1
2026-08-17,b22 light bulb,7,7,1300,0.26,https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,28,19.00,1
2026-08-17,wall lights,28,28,40500,0.42,https://ledsone.co.uk/collections/wall-light,28,28.00,1
2026-08-17,cage light shade,1,1,210,0.26,https://ledsone.co.uk/collections/wire-cage-pendant-light,27,16.00,"1,3"
2026-08-17,white board white,21,21,18100,0.94,https://ledsone.co.uk/collections/white-board,27,24.00,1
2026-08-17,e27 bulb (collection),17,17,18100,0.28,https://ledsone.co.uk/collections/e27-base-bulb,27,16.00,1
2026-08-17,spider pendant light,2,2,320,0.34,https://ledsone.co.uk/collections/spider-light,26,7.00,1
2026-08-17,mould resistant shower curtain,2,2,320,0.27,https://ledsone.co.uk/products/fabric-solid-color-shower-curtain-for-bathtub-shower-5288,26,26.00,1
2026-08-17,what is e27 bulb,1,1,320,0.35,https://ledsone.co.uk/blogs/new/e27-bulb-guide,26,8.00,1
2026-08-17,big bag for laundry,3,3,720,0.33,https://ledsone.co.uk/collections/laundry-bags,25,16.00,1
2026-08-17,pendant lamp,6,6,1000,0.43,https://ledsone.co.uk/collections/pendant-lights,24,22.00,0
2026-08-17,pendant lamp plug,6,6,1300,0.29,https://ledsone.co.uk/collections/plugin-lighting,24,11.00,"1,3"
2026-08-17,cage hanging light,1,1,90,0.48,https://ledsone.co.uk/collections/wire-cage-pendant-light,22,10.00,"1,3"
2026-08-17,ceiling rose,23,23,14800,0.65,https://ledsone.co.uk/collections/all-ceiling-rose,22,23.00,1
2026-08-17,vintage e27 light bulbs,2,2,170,0.38,https://ledsone.co.uk/collections/vintage-bulbs,22,10.00,0
2026-08-17,light cage shade,1,1,170,0.29,https://ledsone.co.uk/collections/wire-cage-pendant-light,22,13.00,1
2026-08-17,ceiling hooks for lights,2,2,170,0.25,https://ledsone.co.uk/collections/hooks-and-rings,22,15.00,1
2026-08-17,conduit lighting,3,3,260,0.61,https://ledsone.co.uk/collections/conduit-lighting,21,8.00,1
2026-08-17,pipe lights,2,2,260,0.89,https://ledsone.co.uk/collections/pipe-lighting,21,10.00,1
2026-08-17,transformer 12v led,2,2,260,0.37,https://ledsone.co.uk/collections/dc-12v-transformer,21,22.00,1
2026-08-17,spider ceiling light,2,2,320,0.49,https://ledsone.co.uk/collections/spider-light,20,8.00,1
2026-08-17,light pendant holder,1,1,140,0.39,https://ledsone.co.uk/collections/pendant-holder,18,9.00,1
2026-08-17,pendant light,22,22,12100,0.53,https://ledsone.co.uk/collections/plugin-lighting,18,24.00,1
2026-08-17,12v transformer,3,3,720,0.29,https://ledsone.co.uk/collections/dc-12v-transformer,17,19.00,1
2026-08-17,bayonet mount led bulb,7,7,720,0.25,https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,17,10.00,1
2026-08-17,e27 screw light bulbs,7,7,720,0.31,https://ledsone.co.uk/blogs/new/e27-bulb-guide,17,10.00,1
2026-08-17,spider pendant lamp,2,2,210,0.46,https://ledsone.co.uk/collections/spider-light,17,7.00,"1,3"
2026-08-17,bayonet fitting light bulbs,7,7,720,0.28,https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,17,17.00,1
2026-08-17,pendant light with plug in,2,2,210,0.32,https://ledsone.co.uk/collections/plugin-lighting,17,7.00,0
2026-08-17,pendant light spider,2,2,210,0.34,https://ledsone.co.uk/collections/spider-light,17,6.00,"0,1"
2026-08-17,ceiling hooks for lighting,6,6,590,0.32,https://ledsone.co.uk/collections/hooks-and-rings,17,9.00,1
