Parent List ID,Shade_Shape,Height_mm,Diameter_mm,Hole_Diameter_mm,Material_Primary,Fitting_Type,Colour_Family,Bulb_Base_Type,Style_Category,Room_Suitability
6842133151905,Cone,100,180,40,Metal,Easy Fit,Brushed Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842133151905,Cone,100,180,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6842133151905,Cone,100,180,40,Metal,Easy Fit,Brushed Silver,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842133151905,Cone,100,180,40,Metal,Easy Fit,Rustic Red,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842133151905,Cone,100,180,40,Metal,Easy Fit,Brushed Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842390708385,Dome,100,210,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6842266648737,Umbrella,120,300,40,Metal,Easy Fit,Brushed Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842266648737,Umbrella,120,300,40,Metal,Easy Fit,Rustic Red,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842266648737,Umbrella,120,300,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6842266648737,Umbrella,120,300,40,Metal,Easy Fit,Brushed Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842266648737,Umbrella,120,300,40,Metal,Easy Fit,Brushed Silver,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6914752151713,Bowel,70,260,40,Metal,Easy Fit,Rustic Red,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6914752151713,Bowel,70,260,40,Metal,Easy Fit,Brushed Silver,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6914752151713,Bowel,70,260,40,Metal,Easy Fit,Brushed Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6914752151713,Bowel,70,260,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6914752151713,Bowel,70,260,40,Metal,Easy Fit,Brushed Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Blue,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Red,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Yellow,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Rose Gold,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Yellow Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Satin Nickel,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Brushed Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Rustic Red,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Brushed Silver,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Navy Blue,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4592990716000,,,,,,,,,,
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Brushed Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Chrome,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Green Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4592990716000,Barn Slot,160,300,40,Metal,Easy Fit,Pink,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7455207424250,Temple Dome,135,320,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7455207424250,Temple Dome,135,320,40,Metal,Easy Fit,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7455207424250,Temple Dome,135,320,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7455207424250,Temple Dome,135,320,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7455207424250,Temple Dome,135,320,40,Metal,Easy Fit,Red,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7487350833402,,,,,,,,,,
6842221527201,Flat,40,220,40,Metal,Easy Fit,Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842221527201,Flat,40,220,40,Metal,Easy Fit,Yellow Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842221527201,Flat,40,220,40,Metal,Easy Fit,Green Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842221527201,Flat,40,220,40,Metal,Easy Fit,Rustic Red,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842221527201,Flat,40,220,40,Metal,Easy Fit,Brushed Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842221527201,Flat,40,220,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6842221527201,Flat,40,220,40,Metal,Easy Fit,Satin Nickel,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4536806146144,,,,,,,,,,
7455208014074,Temple Dome,135,320,40,Metal,Easy Fit,Cyan Blue,E27,Vintage Industrial,"Kids Room, Living Room, Kitchen [VERIFY]"
7615786451194,Dome,170,400,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7615786451194,Dome,170,400,40,Metal,Easy Fit,Red,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7615786451194,Dome,170,400,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7615786451194,Dome,170,400,40,Metal,Easy Fit,Blue,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7615786451194,Dome,170,400,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7615786451194,Dome,170,400,40,Metal,Easy Fit,Cyan Blue,E27,Vintage Industrial,"Kids Room, Living Room, Kitchen [VERIFY]"
7615786451194,Dome,170,400,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7615786451194,Dome,170,400,40,Metal,Easy Fit,Yellow,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7615786451194,Dome,170,400,40,Metal,Easy Fit,Navy Blue,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4536795824224,,,,,,,,,,
4536795693152,,,,,,,,,,
4536806637664,,,,,,,,,,
4536806473824,,,,,,,,,,
4536795562080,,,,,,,,,,
5752972902561,,,,,,,,,,
8013147275514,Globe Shape,145,190,40,Glass,Easy Fit,Multi-Colour,E27,Contemporary Art Deco Glass,"Living Room, Hallway, Dining [VERIFY]"
8013202063610,Globe Shape,130,150,40,Glass,Easy Fit,Multi-Colour,E27,Contemporary Art Deco Glass,"Living Room, Hallway, Dining [VERIFY]"
7455207784698,Temple Dome,135,320,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
5474398699681,Curvey,170,290,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8013156286714,Bell shape,115,135,40,Glass,Easy Fit,Multi-Colour,E27,Contemporary Art Deco Glass,"Living Room, Hallway, Dining [VERIFY]"
4536806670432,,,,,,,,,,
5742783922337,,,,,,,,,,
4536806539360,,,,,,,,,,
5282330738849,,,,,,,,,,
7702867771642,Teardrop,300,160,10,Metal,N/A,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7702888907002,Teardrop,300,160,10,Metal,N/A,Blue,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7702888907002,,,,,,,,,,
7702888907002,Teardrop,300,160,10,Metal,N/A,Red,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7702888907002,Teardrop,300,160,10,Metal,N/A,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7702888907002,Teardrop,300,160,10,Metal,N/A,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7702888907002,Teardrop,300,160,10,Metal,N/A,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7702888907002,Teardrop,300,160,10,Metal,N/A,Yellow,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7702888907002,Teardrop,300,160,10,Metal,N/A,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7702888907002,Teardrop,300,160,10,Metal,N/A,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7702888907002,Teardrop,300,160,10,Metal,N/A,Burgundy,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7702867935482,Teardrop,300,160,10,Metal,N/A,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4417288732768,,,,,,,,,,
4495624274016,,,,,,,,,,
7452902588666,Cone,80,220,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7455207653626,Temple Dome,135,320,40,Metal,Easy Fit,Blue,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
