#,Handle,Product ID,Product URL,Units Sold,Orders
1,ip68-waterproof-junction-box-outdoor-for-electrical-cable-wire-connector-5599,14875761344898,https://ledsone.co.uk/products/ip68-waterproof-junction-box-outdoor-for-electrical-cable-wire-connector-5599,5,#LED56978(x2) | #LED57152(x2) | #LED57571(x1)
2,rose-gold-lamp-shade-cap-for-pendant-light-socket-holder-fitting,7470952349946,https://ledsone.co.uk/products/rose-gold-lamp-shade-cap-for-pendant-light-socket-holder-fitting,0,
3,40cm-black-metal-dome-pendant-light,5911744282785,https://ledsone.co.uk/products/40cm-black-metal-dome-pendant-light,0,
4,modern-vintage-pendant-light-fitting-retro-industrial-style-e27-lamp-holder,4524553470048,https://ledsone.co.uk/products/modern-vintage-pendant-light-fitting-retro-industrial-style-e27-lamp-holder,0,
5,pendant-light-fitting-ceiling-rose-e27-suspension-set-fabric-corded-rose-gold,4551406649440,https://ledsone.co.uk/products/pendant-light-fitting-ceiling-rose-e27-suspension-set-fabric-corded-rose-gold,0,
6,tiffany-style-ceiling-pendant-hanging-mediterranean-style-lamp-light-decorative-home-4541,8005774409978,https://ledsone.co.uk/products/tiffany-style-ceiling-pendant-hanging-mediterranean-style-lamp-light-decorative-home-4541,0,
7,brushed-silver-metal-industrial-hanging-pendant-lighting-adjustable-hanging-barn-light,5784602640545,https://ledsone.co.uk/products/brushed-silver-metal-industrial-hanging-pendant-lighting-adjustable-hanging-barn-light,2,#LED57069(x2)
8,ledsone-industrial-vintage-32cm-orange-pendant-retro-metal-lamp-shade-e27-uk-holder,,,0,
9,lamp-shade-spring-clip-retainer-for-lamp-part-shades-5963,14946951397762,https://ledsone.co.uk/products/lamp-shade-spring-clip-retainer-for-lamp-part-shades-5963,0,
10,french-gold-pendant-lights-gold-ceiling-lights-metal-industrial-light-shade,6685790896289,https://ledsone.co.uk/products/french-gold-pendant-lights-gold-ceiling-lights-metal-industrial-light-shade,0,
11,e27-g95-40w-dimmable-antique-globe-industrial-retro-bulb,6669353779361,https://ledsone.co.uk/products/e27-g95-40w-dimmable-antique-globe-industrial-retro-bulb,5,#LED57086(x3) | #LED57271(x2)
12,dc12v-60w-ip20-mini-universal-regulated-switching-led-transformer,4417257209952,https://ledsone.co.uk/products/dc12v-60w-ip20-mini-universal-regulated-switching-led-transformer,0,
13,industrial-vintage-style-wall-or-ceiling-light-b22-bar-conduits-light,6655620841633,https://ledsone.co.uk/products/industrial-vintage-style-wall-or-ceiling-light-b22-bar-conduits-light,0,
14,3-light-bulb-guard-cage-cluster-pendant-lights,8114277515514,https://ledsone.co.uk/products/3-light-bulb-guard-cage-cluster-pendant-lights,0,
15,conduit-pipe-table-lamp-with-dimmer-switch-industrial-steampunk-light-5651,14882306818434,https://ledsone.co.uk/products/conduit-pipe-table-lamp-with-dimmer-switch-industrial-steampunk-light-5651,0,
16,28w-compact-led-driver-ac-230v-to-dc12v-power-supply-transformer,4417260486752,https://ledsone.co.uk/products/28w-compact-led-driver-ac-230v-to-dc12v-power-supply-transformer,0,
17,3-light-ceiling-pendant-light-with-pulley-system,14937948586370,https://ledsone.co.uk/products/3-light-ceiling-pendant-light-with-pulley-system,0,
18,light-fixing-strap-brace-ceiling-rose-155mm-bracket-plate-with-accessories,4538255736928,https://ledsone.co.uk/products/light-fixing-strap-brace-ceiling-rose-155mm-bracket-plate-with-accessories,0,
19,ceramic-porcelain-type-6-es-e27-edison-screw-heat-bulb-variation-lamp-holder,,,0,
20,2pcs-bath-pedestal-rug-set-soft-non-slip-water-absorbent-mat-sets-5393,8175831417082,https://ledsone.co.uk/products/2pcs-bath-pedestal-rug-set-soft-non-slip-water-absorbent-mat-sets-5393,0,
21,cone-wall-light,4488111882336,https://ledsone.co.uk/products/cone-wall-light,0,
22,copper-lamp-shade-cap-for-pendant-light-socket-holder-fitting,7470951956730,https://ledsone.co.uk/products/copper-lamp-shade-cap-for-pendant-light-socket-holder-fitting,0,
23,dc12v-15w-led-driver-power-supply-transformer,4417261633632,https://ledsone.co.uk/products/dc12v-15w-led-driver-power-supply-transformer,0,
24,warm-white-12v-led-waterproof-modules-ip67-outdoor-5677,14886272434562,https://ledsone.co.uk/products/warm-white-12v-led-waterproof-modules-ip67-outdoor-5677,2,#LED56960(x1) | #LED57826(x1)
25,5-x-vintage-pendant-cord-grip-strain-relief-metal-cable-lock-10mm-nut-6048,14965693940098,https://ledsone.co.uk/products/5-x-vintage-pendant-cord-grip-strain-relief-metal-cable-lock-10mm-nut-6048,1,#LED57048(x1)
