SKU,Original Rank,Original Selected Listing,Original CPPC Status,Original Shopify UK Listing Status,Original Shopify UK Orders (CSV),Shopify Listing Actual (DB),Shopify Orders Actual (DB),Amazon Orders Actual (DB),eBay Orders Actual (DB),PMax/CPC Actual Status,Verification Result,Error Type,Reason,Evidence Source,Recommended Action
ENC809,109,FALSE,,Listed not selling,0,ACTIVE (LEDSone),25,59 (SRM+Ledsone),3 (multi-eBay),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 25 orders (last: 2026-08-09). Status should be SELLING not Listed-not-selling,ledsone-db order_item_info,Reclassify as SELLING. Review if PMax needed given active Shopify sales.
CRSF2003CO+PHHN1PBRCO3PK+LSGG200AR3PK,111,FALSE,,Listed not selling,0,COMPONENTS ACTIVE,BUNDLE=UNVERIFIED,26 Shopify (CRSF2003CO component),34 Shopify (CRSF2003CO),NOT IN PMAX,NEEDS REVIEW,BUNDLE SKU - COMPONENT HAS ORDERS,CRSF2003CO has 26 Shopify UK orders. Bundle itself unverified as Shopify product.,ledsone-db listings + orders,Check if bundle is a Shopify product. If not listed as bundle: correct status is Not Listed.
CRFF500CH+WCCY1ROCH3PK+LDMT45E2743PK,32,FALSE,,Not listed on Shopify UK,0,COMPONENTS ACTIVE (CRFF500CH active on LEDSone),11 Shopify (CRFF500CH only),71 total Amazon (all accounts),13+ eBay,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT LISTED BUT COMPONENTS ACTIVE,Individual component CRFF500CH is active and has Shopify orders. Bundle is not listed. Status correct for bundle.,ledsone-db listings + orders,Confirm bundle is not a Shopify product. If correct: NOT LISTED is accurate.
PHUH1HETBM2PK+LSHM400HE2PK,7,FALSE,,Not listed on Shopify UK,0,PHUH1HETBM2PK listed; LSHM400HE has 12 Shopify orders,8 Shopify (PHUH1HETBM2PK component),Amazon Dcvoltage 19 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT LISTED BUT COMPONENTS ACTIVE,"LSHM400HE (component) has 12 Shopify orders, listed since 2025-03-21. Bundle itself likely not a Shopify product.",ledsone-db listings + orders,Verify bundle listing. Component demand is real.
PLADRR,85,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Vintagelite + dcvoltage),29,17 Amazon (Dcvoltage),LOW eBay,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 29 orders (last: 2026-08-16). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING. Active on multiple channels. Review PMax suitability.
PLHIRR,17,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Vintagelite + dcvoltage),18,NOT FOUND AMAZON,LOW eBay,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 18 orders (last: 2026-01-28). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING.
ENC1522,270,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE IN SHOPIFY UK,0,27 Amazon (Dcvoltage),9 eBay (so_926407+led_sone+re6865),NOT IN PMAX,PASS,N/A,Not listed on Shopify UK confirmed. Zero Shopify orders confirmed. Marketplace demand exists.,ledsone-db listings + orders,Should be selected for PMax once listed on Shopify UK. HIGH PRIORITY listing gap.
LSHM400HE2PK+RPR44WH2PK,12,FALSE,,Not listed on Shopify UK,0,COMPONENTS ACTIVE (LSHM400HE listed; 12 Shopify orders),BUNDLE=0,Amazon Dcvoltage 15 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT LISTED BUT COMPONENTS SELLING,"LSHM400HE has 12 Shopify UK orders. Bundle as a product unit is unverified.",ledsone-db listings + orders,Verify if bundle exists as a Shopify product. High marketplace demand.
CRFF500CH+WCCY1ROCH3PK,56,FALSE,,Listed not selling,0,COMPONENTS ACTIVE,11 Shopify (CRFF500CH),Amazon Ledsone 6 orders,led_sone 2 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE SKU - COMPONENT HAS SHOPIFY ORDERS,CRFF500CH (component) has 11 Shopify UK orders. Bundle not verifiable without checking Shopify product catalog.,ledsone-db orders,Verify bundle as distinct Shopify product.
12IP20400,30,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Electricalsone + dcvoltage listed 2019),42,71 Amazon (Dcvoltage+Ledsone+SRM),572 eBay (led_sone+electricalsone+others),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 42 orders (last: 2026-04-24). HIGHLY ACTIVE on eBay (572 orders). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING. Strong cross-channel demand. HIGH PRIORITY for PMax.
