ProductId,Current stock,2026-07-13
SWGS1GBL1,0,
SWGS1GBL,15,14
PHUH1HETBM2PK+ICST64E272PK,350,107
PHUH1HETBM2PK,350,107
PHUH1HETBM+ICST64E27,350,214
LSFT220BB+RPR44WH,300,367
LSFT220BC+RPR44WH,900,1186
LSFT220BM+RPR44WH,2853,2474
ENC3487,0,0
LSFT220RR+RPR44WH,294,644
LSFT220BS+RPR44WH,349,322
CRSF100BM+PHCN1PBRBM+LSCP150WH+ICST64E27,74,32
LSDO400OR+RPR44WH,48,16
ENC4097,36,52
LSDO210OR+RPR44WH,342,272
ENC4435,0,0
LSFT220GY+RPR44WH,806,696
CRSF100BMAPK+PHHT1PBRBMAPK+ICST64E27APK,728,631
ENC3548,-,
ENC3546,0,71
LSFT220BL+RPR44WH,551,708
ENC4081,52,39
CRFF100WO+PHMH1HERCO,0,0
LSFT220BI+RPR44WH,2067,1835
CRSF100RR+PHSH1PBRRR+WCBNRR,57,54
CRSF100RRAPK+PHHT1PBRRRAPK+ICST64E27APK,9,7
LSFT220PI+RPR44WH,90,58
LSFT220GR+RPR44WH,1550,1306
ENC4079,0,0
ENC3492,99,89
ENC4135,52,39
ENC4078,0,0
ENC3580,0,17
ENC4377,47,29
LSSS300LG+RPR44WH,0,0
ENC4132,0,57
ENC3516,55,0
LSFT220WH+RPR44WH,882,773
LSFT220RE+RPR44WH,635,497
LSFT220OR+RPR44WH,628,500
ENC4133,80,76
ENC4134,36,52
WCB825BM,5,5
LSFT220YE+RPR44WH,428,563
CRSF100CH+PHCHPCRCH+LSMS320BT,195,2
WCB2BB,78,0
WCB4BM,614,554
LDCWE27125PK,0,0
12BO48,502,354
WCB3BC,207,191
CRSF2003CH+PHSH1PCRCH3PK+WCLCCH3PK+ICT185E27603PK,118,117
ENC4204,22,56
ENC4201,15,44
LSWD360BC+RPR44WH,59,276
LSTF40BM+RPR44WH,309,304
LSRP260SN+RPR44WH,84,58
CRSF100WH+PHRB1PWR40WH+LSBS160BL,33,77
LSDO210BI+RPR44WH,957,1014
LSDM220YB+RPR44WH,325,172
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220OR+ICST64E27,44,500
CRFF100BM+WSLS155YB+WCMSBM,1,0
12IP6750,302,221
ENC4374,62,57
CRSF100BM+WSLS155GB+LSCY290RE+ICST64E27,369,318
CRSF100BM+WSLS155GB+LSCY290GY,369,318
CRSF100WH+PHCN1PWRWH+LSSS300CH,150,85
ENC4380,9,5
LSUL220BC+RPR44WH,521,798
CRSF100BM+PHHT1PBRBM+WCWVBM+ICST64E2740,98,84
LSFT220FG+RPR44WH,178,126
CRSF100BM+LHNSE27BM+SCRN70YB+LSLT360YE+ICST64E27,149,141
WCB5BB,127,119
PLBXBM+PCGZ250TP+PCRNSR+PCGZ30NT+LHTTE27BM+RPM40BM+LSMS320BI,148,143
ENC4329,0,19
ENC4093,38,22
LSMS320WH+RPR44WH,1231,843
LSHH240BC+RPR44WH,156,126
CRSF2003WH+PHCH1PWRSBL3PK+WCDTBL3PK,57,15
CRSF1202CH+WSIW70CH2PK+WCBNCH2PK,54,53
LSSS300RE+RPR44WH,1215,975
LSSS300CO+RPR44WH,395,319
LSTF40BC+RPR44WH,492,601
LSDO210BG+RPR44WH,802,2118
LDCWE27255PK,71,45
LDCWE27253PK,118,75
CRFF140GL+LHNSE27YB+SCRN70BM+LSTL260BI,0,0
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220RE+ICST64E27,44,497
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220BS,44,322
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220BC,44,988
12IP6730,397,233
12IP67150,245,134
LDCWB22125PK,0,0
CRSF100BM+WSLS155GB+LSCY290BS+ICST64E27,369,318
LDWWB22125PK,0,0
CRSF100BM+PHSH1PBRYB+LSSS300BM+ICST64E2740,842,869
LSSS300BC+RPR44WH,45,239
CCBC18,463,428
12BO18,145,159
LSFT220RO+RPR44WH,170,246
CRSF2003CH+PHSH1PCRCH3PK+WCLCCH3PK,118,117
WCB5BM,455,407
ENC4331,36,52
LDWWB2212,0,0
ENC4200,51,53
CRSF100BM+PHSH1PBRYB+LSSS300PI,123,98
ENC4195,305,0
CRSF100OR2PK+WSCH135OR2PK+LSDO210OR2PK,64,53
CRSF2003BS+PHRI1PCRSN3PK+LSHH240BS3PK,62,57
