Excel Row,Excel Title,Excel SKU,Primary SKU Searched,Shopify Product Title,Shopify Product ID,Shopify Product GID,Match Status,Match Method,Notes
2,12W E27 LED Light Bulbs 1160 Lumens ~6911,LDCWA60HE2712,LDCWA60HE2712,12W E27 LED Light Bulbs 1160 Lumens ~6911,15383386620290,gid://shopify/Product/15383386620290,MATCHED,GraphQL productVariants query by SKU,
3,13A UK 3 Pin Plug Rewirable Fused Mains Plug 250V~6809,SPPGUK3PTR,SPPGUK3PTR,13A UK 3 Pin Plug Rewirable Fused Mains Plug 250V~6809,15338513531266,gid://shopify/Product/15338513531266,MATCHED,GraphQL productVariants query by SKU,"Duplicate SKU resolved by title match | SKU maps to 2 products: ['15338513531266', '15334913245570']"
4,15 x 10mm Cable Trunking Internal Corner Elbow 5 Pack ~6931,PCIC2516WH5PK,PCIC2516WH5PK,15 x 10mm Cable Trunking Internal Corner Elbow 5 Pack ~6931,15391574000002,gid://shopify/Product/15391574000002,MATCHED,GraphQL productVariants query by SKU,
5,16A 220V Inline Rocker On/Off Switch White | Heavy Duty ~6700,SWHBSP1OSWH,SWHBSP1OSWH,16A 220V Inline Rocker On/Off Switch White | Heavy Duty ~6700,15288186438018,gid://shopify/Product/15288186438018,MATCHED,GraphQL productVariants query by SKU,
6,2 Core Fabric Lamp Cable Inline Rocker Switch 16A + Free Cable~6792,CL2TAG+SWHBPB1OSWB,CL2TAG+SWHBPB1OSWB,2 Core Fabric Lamp Cable Inline Rocker Switch 16A + Free Cable~6792,15329296744834,gid://shopify/Product/15329296744834,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
7,20mm AA90 Degree PVC Pipe Fitting Elbow Coupling Connector ~6929,PCEL9020WH3PK,PCEL9020WH3PK,20mm AA90 Degree PVC Pipe Fitting Elbow Coupling Connector ~6929,15391572394370,gid://shopify/Product/15391572394370,MATCHED,GraphQL productVariants query by SKU,
8,20mm Conduit Ceiling Rose Kit Black Metal Back Box Fitting ~6872,PCBM20MX+PCDO20WH+PCBSM2FWH+RW1FG2PK,PCBM20MX+PCDO20WH+PCBSM2FWH+RW1FG2PK,20mm Conduit Ceiling Rose Kit Black Metal Back Box Fitting ~6872,15374741209474,gid://shopify/Product/15374741209474,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
9,24.5cm Flower Shaped Glass Ceiling Light | Floral Flush Mount Fixture ~6583,ENC9464,ENC9464,24.5cm Flower Shaped Glass Ceiling Light | Floral Flush Mount Fixture ~6583,15269308006786,gid://shopify/Product/15269308006786,MATCHED,GraphQL productVariants query by SKU,
10,4/6 Pcs UK 3 Pin 13 AMP Plug Fused Fitted Mains 250V AC Plug ~6704,SPPGUK3PBM4PK,SPPGUK3PBM4PK,4/6 Pcs UK 3 Pin 13 AMP Plug Fused Fitted Mains 250V AC Plug ~6704,15291487322498,gid://shopify/Product/15291487322498,MATCHED,GraphQL productVariants query by SKU,
11,7W (60W eqv) E27 A60 GLS Bulb 560 Lumens Non Dimmable ~6912,LDCWA60HE277,LDCWA60HE277,7W (60W eqv) E27 A60 GLS Bulb 560 Lumens Non Dimmable ~6912,15383397433730,gid://shopify/Product/15383397433730,MATCHED,GraphQL productVariants query by SKU,
12,7W LED Spotlight Bulb GU10 ~6862,LPMC50CW7W5PK,LPMC50CW7W5PK,7W LED Spotlight Bulb GU10 ~6862,15372355764610,gid://shopify/Product/15372355764610,MATCHED,GraphQL productVariants query by SKU,
13,90 Degree PVC Conduit Fitting Elbow ~6886,PCELC9025WH5PK,PCELC9025WH5PK,90 Degree PVC Conduit Fitting Elbow ~6886,15379896238466,gid://shopify/Product/15379896238466,MATCHED,GraphQL productVariants query by SKU,
14,9W (60W eqv) 806lm E27 LED Bulb A60 GLS 6400K ~6913,LDCWA60HE279,LDCWA60HE279,9W (60W eqv) 806lm E27 LED Bulb A60 GLS 6400K ~6913,15383413195138,gid://shopify/Product/15383413195138,MATCHED,GraphQL productVariants query by SKU,
