sku,product_img_url,last_year_qty_sold,last_year_sales_eur,current_de_stock,last_order_date,days_out_of_stock,lost_sales_estimate_eur
WCDUHE+RPR44WH,https://m.media-amazon.com/images/I/51KmJYHuPcL.jpg,136,2167.88,0,2025-09-01T00:00:00.000Z,325,1930.30
PHCT1BMRBM+PHBA1BMRBM+LSDO300BM,https://m.media-amazon.com/images/I/41WUzBBUaaL.jpg,38,1458.60,0,2025-12-15T00:00:00.000Z,220,879.16
CRSF100YE+PHCH1PWRSYE+LSCY290YE,https://m.media-amazon.com/images/I/21oCpn39mBS.jpg,53,1378.48,0,2025-12-30T00:00:00.000Z,205,774.21
ENC686,https://m.media-amazon.com/images/I/31f7wnxapRL.jpg,18,1104.72,0,2025-10-14T00:00:00.000Z,282,853.51
CRSF100CO+LHNSE27CO+SCRN70CO+LSTF40CO,https://m.media-amazon.com/images/I/41hAY9iWCkL.jpg,44,977.04,0,2025-12-08T00:00:00.000Z,227,607.64
ENC2971,https://m.media-amazon.com/images/I/41bWON+hlCL.jpg,8,930.33,0,2025-12-26T00:00:00.000Z,209,532.71
CRSF100BM+PHDO1PBRBM+LSTM310BM,https://m.media-amazon.com/images/I/514UMIKAIgL.jpg,25,741.70,0,2025-12-19T00:00:00.000Z,216,438.92
MBEX3545CBPPK,https://m.media-amazon.com/images/I/51nmckrXEJL.jpg,2,707.06,0,2025-11-09T00:00:00.000Z,256,495.91
MBEX3545LGPPK,https://m.media-amazon.com/images/I/517+lQfGEBL.jpg,10,707.06,0,2025-11-09T00:00:00.000Z,256,495.91
CRSF2003BM2PK+WCRNBM6PK,https://m.media-amazon.com/images/I/414PJ+32TEL.jpg,9,681.41,0,2025-04-20T00:00:00.000Z,459,856.90
LSFT220CH+RPR44WH,https://m.media-amazon.com/images/I/31nX1tgwzNL.jpg,40,652.12,0,2025-12-09T00:00:00.000Z,226,403.78
WCRPHE+RPR44WH,https://m.media-amazon.com/images/I/51n121rTnjL.jpg,26,649.54,0,2025-12-28T00:00:00.000Z,207,368.37
LSCP150BA2PK+RPR44WH2PK,https://m.media-amazon.com/images/I/61+ABOjcW0L.jpg,22,648.91,0,2025-11-20T00:00:00.000Z,245,435.57
PHCT1BMRBM+PHBA1BMRBM+LSYG410BI,https://m.media-amazon.com/images/I/51pJA5IIEhL.jpg,16,590.67,0,2025-12-15T00:00:00.000Z,220,356.02
WSOSBDBM,,14,581.40,0,2025-08-03T00:00:00.000Z,354,563.88
LHPHE27GB,https://m.media-amazon.com/images/I/51mepsM3GRL.jpg,39,565.03,0,2025-12-07T00:00:00.000Z,228,352.95
CRSF100BM+WSSS70BM+LSWD360BM+ICST64E27,https://m.media-amazon.com/images/I/41eRlbmPD7L.jpg,23,517.01,0,2025-12-14T00:00:00.000Z,221,313.04
CRSF100SN+WSSS70SN+LSCY290SN+ICST64E27,https://m.media-amazon.com/images/I/31XnO8Yb61L.jpg,25,510.81,0,2025-10-12T00:00:00.000Z,284,397.45
