product_item_id,product_id,variant_id,sku,product_title,campaign_id,site,status,quantity,compare_price,current_price,total_clicks,total_spend,total_conversions,total_conversion_value,compare_price_bucket
shopify_gb_7977115615482_44687446769914,7977115615482,44687446769914,LDMST64E2746PK,SIx,21069663519,UK,active,1687,,20.79,491,356.71,35.70,1044.21,NULL
shopify_gb_14874202472834_54859132699010,14874202472834,54859132699010,ENC7860,Yes,21069663519,UK,active,119,,19.19,209,112.30,10.57,450.35,NULL
shopify_gb_5334385819809_34865736220833,5334385819809,34865736220833,PLPYBC+ICST64E2740,Brushed Copper,21069663519,UK,active,145,,17.29,151,82.73,5.66,192.47,NULL
shopify_gb_7630664532218_42832272556282,7630664532218,42832272556282,CRFF140CO+WSNW170CO+LSRP260CO+ICST64E27,Yes / Copper,21069663519,UK,active,156,,27.49,26,20.81,1.00,32.18,NULL
shopify_gb_15069349151106_55576282431874,15069349151106,55576282431874,WSNWBC+WJ018RB3PBM+LSCY290BC+LDMST64E274,Brushed Copper,21069663519,UK,active,0,0.00,16.69,21,18.15,1.00,33.48,ZERO
shopify_gb_5294722318497_34706867781793,5294722318497,34706867781793,LSGD280AR+SCRN70FG,Default Title,22079334413,UK,active,160,,24.59,36,16.75,1.00,27.43,NULL
shopify_gb_14876294447490_54864089940354,14876294447490,54864089940354,COT85IP683RE,Red T Connector,21242723265,UK,active,749,0.00,2.85,30,16.56,0.00,0.00,ZERO
shopify_gb_15124381794690_55766497264002,15124381794690,55766497264002,WCBCFBM,Black Cage,21069663519,UK,active,289,,13.19,55,15.97,1.09,36.11,NULL
shopify_gb_7585585332474_42621052616954,7585585332474,42621052616954,COY9ABM,Y Connecter,21069663519,UK,active,0,,3.75,34,15.69,1.41,76.78,NULL
shopify_gb_4417271365728_56670391566722,4417271365728,56670391566722,ENC7884,Yes,23110323532,UK,active,71,,18.79,21,13.46,2.00,79.25,NULL
shopify_gb_5998486913185_37458904318113,5998486913185,37458904318113,CRFF100CO+PHUP1PBRCO+CNT900CO,Default Title,21069663519,UK,active,152,0.00,10.89,47,13.11,1.50,63.56,ZERO
shopify_gb_14881058324866_54879996510594,14881058324866,54879996510594,ENC8051,Yellow Brass,21069663519,UK,active,41,0.00,12.19,13,12.51,0.00,0.00,ZERO
shopify_gb_15069349151106_55576282399106,15069349151106,55576282399106,WSNWBS+WJ018RB3PBM+LSCY290BS+LDMST64E274,Brushed Silver,21069663519,UK,active,179,0.00,16.69,6,11.87,0.00,0.00,ZERO
