product_item_id,shopify_id,sku,title,status,quantity,listing_max_platform_stock,compare_price,price,merch_avail,merch_sale_price,spend_30d,clicks_30d
8005820285178,8005820285178,,Plug-In Pendant Light Fitting Kit E27 with Switch | 2m & 4.5m ~4548,active,,,,,IN_STOCK,,240.58,1132
8649884762362,8649884762362,,E27 ES Threaded 20mm Conduit Pipe Lamp Holder Bulb Fitting Socket ~5540,active,,,,,IN_STOCK,,33.52,66
14935131783554,14935131783554,,Industrial Steampunk 3 Way Ceiling Lights Black ~901,active,,,,,IN_STOCK,,31.81,76
14935131783554,14935131783554,,Industrial Steampunk 3 Way Ceiling Lights Black ~901,active,,,,,IN_STOCK,41.99,31.81,76
6024708522145,6024708522145,,2m Cable E27 Pendant Light French Gold Ceiling Set Green Brass~1721,active,,,,,IN_STOCK,,19.54,42
4417255538784,4417255538784,,DC 12V 250W IP67 Waterproof LED Driver Transformer Power Supply,active,,,,,IN_STOCK,27.99,18.51,24
4417275887712,4417275887712,,LED B22 G95 4W Filament Dimmable Warm White 2700K Bulb(Energy Saving)~3080,active,,,,,IN_STOCK,,18.32,62
4417260978272,4417260978272,,12V 100W LED Driver Power Supply AC to DC for Strip Lights~3273,active,,,,,IN_STOCK,12.99,18.12,48
4417263468640,4417263468640,,Yellow Vintage 2 Core Round Braided Fabric Cable –0.75mm~3246,active,,,,,IN_STOCK,,17.60,16
14882318418306,14882318418306,,Swan Neck Bend conduit pipe Fitting Metal 220mm length Thread~5653,active,,,,,IN_STOCK,,15.52,60
14877939368322,14877939368322,,LEDSone LED T185 4W B22/E27 Tubular Filament Warm White Dimmable Bulbs~5612,active,,,,,IN_STOCK,,14.10,30
4417255178336,4417255178336,,45W LED Driver 12V DC Transformer IP67~3357,active,,,,,IN_STOCK,9.99,12.86,12
6966926704801,6966926704801,,Retro Industrial Pulley Wheel Cage Wall Light E27~1212,active,,,,,IN_STOCK,20.39,11.55,33
6966926704801,6966926704801,,Retro Industrial Pulley Wheel Cage Wall Light E27~1212,active,,,,,IN_STOCK,,11.55,33
4417265172576,4417265172576,,4W Dimmable A60 E27 LED Light Bulb Classic Vintage Style~3224,active,,,,,IN_STOCK,,10.36,22
7455207588090,7455207588090,,Orange Gloss Semi Curvy Metal E27 Fit Pendant Lamp Shade~1088,active,,,,,IN_STOCK,12.59,10.10,30
