product_item_id,shopify_id,sku,title,status,quantity,compare_price,price,merch_avail,spend,clicks,convs,cv
shopify_gb_7585585332474_42621052616954,42621052616954,COY9ABM,Y Connecter,active,0,,3.75,OUT_OF_STOCK,68.60,148,9.64,413.44
shopify_gb_6756420288673_42898906022138,42898906022138,CRFF75YB,Yellow Brass,active,0,0.00,4.49,OUT_OF_STOCK,38.76,128,0.00,0.00
shopify_gb_15069349151106_55576282431874,55576282431874,WSNWBC+WJ018RB3PBM+LSCY290BC+LDMST64E274,Brushed Copper,active,0,0.00,16.69,OUT_OF_STOCK,18.15,21,1.00,33.48
shopify_gb_14881058324866_54880066797954,54880066797954,ENC8046,White,active,0,0.00,12.19,IN_STOCK,9.30,20,1.15,92.70
shopify_gb_4493458571360_31780874289248,31780874289248,SWGS2GGD,Default Title,active,0,,6.26,no_record,7.31,59,3.00,183.68
shopify_gb_4542939234400_31949919748192,31949919748192,CRSF1202BM+HK10BM2PK,2 Outlet,active,0,,7.48,OUT_OF_STOCK,6.64,8,0.00,0.00
15114465608066,15114465608066,,5m 3 Core Twisted Antique Braided Fabric Cable – 0.75mm Flex,active,0,,,IN_STOCK,3.92,6,0.00,0.00
shopify_gb_15047001506178_55488526025090,55488526025090,CGSPBM5PK,Black,active,0,0.00,4.59,IN_STOCK,3.10,10,4.30,32.10
shopify_gb_7606831186170_42736978460922,42736978460922,CRSF100YE+PHCH1PWRSYE+LSDO300YE,Default Title,active,0,,17.89,no_record,2.11,2,0.00,0.00
shopify_gb_15114465935746_55740741714306,55740741714306,ENC5054,Without Bulb / SPIDER 1,active,0,,86.19,IN_STOCK,1.22,2,0.00,0.00
shopify_gb_14883343040898_54887601013122,54887601013122,CRSF100BS+PHCH1PBRBS+LSHH240BS,Brushed Silver / 24CM,active,0,0.00,12.15,IN_STOCK,1.02,3,0.00,0.00
55740739813762,55740739813762,CL3TLG5PK,Light Green,active,0,0.00,9.59,OUT_OF_STOCK,0.82,2,0.00,0.00
shopify_gb_4542939234400_31949919715424,31949919715424,CRSF120BM+HK10BM,1 Outlet,active,0,,6.48,IN_STOCK,0.56,4,0.00,0.00
55026392957314,55026392957314,PSHYOS4BRBM,4.5m / With Holder,active,0,0.00,11.59,OUT_OF_STOCK,0.14,2,0.00,0.00
shopify_gb_4542939234400_31949920010336,31949920010336,CRSF1209BM+HK10BM9PK,9 Outlet,active,0,,15.98,OUT_OF_STOCK,0.04,0,0.00,0.00
shopify_gb_4542939234400_31949919977568,31949919977568,CRSF1208BM+HK10BM8PK,8 Outlet,active,0,,14.98,OUT_OF_STOCK,0.00,0,0.00,0.00
shopify_gb_5240106352801_34419248988321,34419248988321,CO123ACL,3A / 1,active,0,,0.18,OUT_OF_STOCK,0.00,0,0.00,0.00
46552645632250,46552645632250,LSFC280SY2PK,Style 5 / Pack 2,active,0,0.00,26.29,OUT_OF_STOCK,0.00,0,0.00,0.00
45132342329594,45132342329594,LSCO335WH2PK+RPR44WH2PK,White / Pack 2,active,0,,21.29,OUT_OF_STOCK,0.00,0,0.00,0.00
shopify_gb_14970788643202_55151854256514,55151854256514,SPSSDBMCPK,Pack 20,active,0,0.00,7.09,IN_STOCK,0.00,0,0.00,0.00
shopify_gb_8162308653306_45132342329594,45132342329594,LSCO335WH2PK+RPR44WH2PK,White / Pack 2,active,0,,21.29,OUT_OF_STOCK,0.00,0,0.00,0.00
shopify_gb_14907263746434_55015788249474,55015788249474,PHSHF1PBRYB+LSHH240BG,Hemisphere shape / No,active,0,,17.90,IN_STOCK,0.00,0,0.00,0.00
shopify_gb_14907263746434_55015788216706,55015788216706,PHSHF1PBRYB+LSHH240BG+ICST64E27,Hemisphere shape / Yes,active,0,,20.60,IN_STOCK,0.00,0,0.00,0.00
shopify_gb_4542939234400_31949919780960,31949919780960,CRSF1203BM+HK10BM3PK,3 Outlet,active,0,,9.48,OUT_OF_STOCK,0.00,0,0.00,0.00
shopify_gb_4542939234400_31949919879264,31949919879264,CRSF1205BM+HK10BM5PK,5 Outlet,active,0,,11.98,OUT_OF_STOCK,0.00,0,0.00,0.00
