product_title,product_type,skus,total_stock
6-12mm PA66  IP68 Waterproof M20 Cable Gland ~6880,Junction Boxes & Connectors,"COM20BM, COM20BM5PK, COM20BMAPK",6913
Mounting Clip For 15 x 16mm LED Neon Flex Accessories~2860,LED Neon Flex,NFMC15,2868
Mounting Clip For 17mm Round LED Neon Flex Accessories~2859,LED Neon Flex,NFMR17,1779
Bedroom Wall Lights Stylish Wall Sconces for Indoor ~1446,Wall Light,"WSST70SN, WSST70YB, WSST70WH, WSST70RO, WSST70GB, WSST70FG, WSST70CO, WSST70CH, WSST70BM",1779
Rose Gold Lamp Shade Cap for Pendant Light Socket Holder Fitting~1030,Lamp_Spares,SCRN70RO,1648
3W Constant Current LED Driver 280mA DC 8–11V Power Supply~3333,Constant Current Transformer,"CCBC3, CCBC32PK, CCBC33PK",1442
55mm Ceiling Rose Strap Side fitting Bracket~4125,Ceiling Rose Brackets,CBSF55,1327
Light Fixture Chain For Stunning Hanging Lamps & Chandeliers ~4451,Hanging Chains,"CNT900RO, CNT900RO2PK, CNT900RO3PK, CNT900RO5PK, CNT900ROAPK",1254
M10 Threaded Lamp Repair Hardware Assortment Pipe Nipples Washers 5pcs~2894,Pipe_Lighting_Accessories,WR5PK,1038
170mm Ceiling Rose Strap Side fitting Bracket~4123,Ceiling Rose Brackets,CBSF170,940
195mm Ceiling Rose Strap Side fitting Bracket~2403,Ceiling Rose Brackets,CBSF195,920
Mountamounting plate Various colours~4057,Ceiling Rose Brackets,"CBMPWH, CBMPYE, CBMPRE, CBMPOR, CBMPGY, CBMPGR, CBMPBL, CBMPBM, CBMPBD",904
45mm Ceiling Rose Strap Side fitting Bracket~4128,Ceiling Rose Brackets,CBSF45,887
165mm Ceiling Rose Strap Side fitting Bracket~2400,Ceiling Rose Brackets,CBSF165,877
Lamp Shade Spring Clip Retainer for Lamp Part Shades~5963,Lighting Accessories,"BC2W100, BC2W120, BC2W160",848
LEDSone Industrial Vintage 100mm Side Fitting Ceiling Rose~3647,Lighting Accessories,"CRSF100NB, CRSF100LG",804
60mm Ceiling Rose Strap Side fitting Bracket~4124,Ceiling Rose Brackets,CBSF60,723
1m/5m/10m 2 Core Braided Electrical Cable~3213,cable,"CL2RBD, CL2RBD5PK, CL2RBDAPK",676
E27 Pendant Light PVC Cable Lamp Short Holder Fitting~2150,Pendant_Holder,PHSH1PBRYB,625
LED Driver DC 9W 25-34V Constant Current Low Voltage LED Transformer ~ 3321,Constant Current Transformer,CCBC9,557
2 Core Round Peach Vintage Braided Fabric Cable – 0.75mm~3032,cable,"CL2RPE, CL2RPE5PK, CL2RPEAPK",554
7W Constant Current LED Driver 280mA DC 20-27V Power Supply~3322,Constant Current Transformer,CCBC7,553
3 Pack LED E27 T185 4W Filament Glass Retro Warm White~1015,LED Bulbs,LDST185E2743PK,553
2 Core Twisted Purple Vintage Braided Fabric Cable–0.75mm~3007,cable,"CL2TPU, CL2TPU5PK, CL2TPUAPK",527
3 Core Round Blue Vintage Braided Fabric Cable–0.75mm Flex~3185,cable,"CL3RBL, CL3RBL5PK, CL3RBLAPK, CL3RBLFPK",520
"1m/5m/10m 2core Twisted Italian Braided Cable,Electrical Fabric Lamp Cable Wire Cord ~4784",cable,"CL2TRW, CL2TRW5PK, CL2TRWAPK",520
1m/5m/10m 2 Core Twisted Electric Cable Dark Blue Color Fabric~4752,cable,"CL2TBD, CL2TBD5PK, CL2TBDAPK",503
6 Way Connector Wire Pole Push Reusable Terminal Block Electric Cable~2039,Junction Boxes & Connectors,"CO624ACL, CO624ACLEPK",475
Industrial Metal Cage Drum Lampshade Easy Fit~2195,Wire Cage,"WCBLBM, WCBLBC, WCBLRR",450
Heat Shrink LED Neon Flex Accessories~2858,LED Neon Flex,NFHS,425
IP67 DC 24V 15W LED Driver Constant Voltage Power Supply Transformer ~5461,DC 5V Transformer,24IP6715,385
French Gold Balloon Design Metal Wall Easy Fit Hanging light~4465,Lamp Shade,WCBNFG,379
Brushed Silver Metal Single Outlet Ceiling Rose Pendant Light Fitting 100mm~2831,Single_Outlet_Ceiling_Rose,CRSF100BS,363
5V 150W LED Transformer 30A Power Supply AC to DC~ 3278,DC 5V Transformer,5IP20150,347
Industrial IP67 LED Driver Transformer 24V 45W~ 3302,Constant Voltage Transformer,24IP6745,334
Smooth Rose Gold E27 Vintage Metal Lamp Holder Retro Socket~2727,Lamp_Holder,LHBBE27RO,315
5V 30W LED Power Supply Transformer AC to DC Switching~3287,Constant Voltage Transformer,5IP2030,292
5 Pack Vintage Industrial Pendant Ceiling Rose~2288,Ceiling Rose,"CRSF100BL5PK, CRSF100GR5PK, CRSF100PI5PK, CRSF100YE5PK, CRSF100GY5PK",270
Industrial Wood Metal Wall Sconce E27 Fitting~5977,Wall Lights,"WSFTWH, WSFTBM",256
14 x 25mm LED Neon Flex End Cap Cover for Neon Light ~2862,LED Neon Flex,NFEC14,251
"DC5V LED Driver Power Supply Transformer 240V IP20 for LED Strip,MR16 Led Transformer~3605",Constant Voltage Transformer,5IP2028,251
Round Ceiling Rose Strap Side fitting Bracket~ 6825,Ceiling Rose Brackets,CBSFRO1152PK,245
Industrial 12V 10A Switching Power Supply 120W Triple Output IP20~3376,Constant Voltage Transformer,12IP20120,233
Vintage Antique Retro Metal Bulb Socket Lamp Holder~5896,Lamp_Holder,LHBHE27GB,229
Galvanised Steel Pipe Threaded 4 way 3/4 inch fitting~4516,Pipe Fittings & Accessories,PCGZ4WC,227
12V 250W Mini LED Transformer 20.8A Switching Power Supply~3325,Constant Voltage Transformer,12MIP20250,210
"LED Strip Light Connector Cable Adapter, Clip & Extension Wire ~ 5666",,"LCPC4C3PK, LCCN123PK, LCPC2C3PK, LCMA4C3PK, LCDM2C3PK, LCCADF3PK, LCCN143PK, LCCN133PK, LCCADM3PK, LCFM4C3PK, LCCA2C3PK, LCCN113PK",197
6 Outlet French Gold Metal Ceiling Rose 120x25mm~2796,Lighting Accessories,CRSF1206FG,196
Single Rope Cage Vintage Ceiling Pendant Light Lampshade~3168,Hemp_Rope_Lamp_Lighting,PHHR1YETYE,193
