product_title,product_type,skus,total_stock
Electrical Cable Trunking End Cap ~6904,CORD_MANAGEMENT_COVER,"PCTE1510WH, PCTE2516WH, PCTE4025WH",12444
Wire Terminal Block Reusable Connector ~6901,TERMINAL_BLOCK,"COTL6624GY, COTL6622GY, COTL6623GY",9250
9W GU10 LED Downlight Module Cool White 6400K COB Lamp ~6801,LED Panel Lights,LPMP50CW9W,3300
Cable Trunking System with Self Adhesive Cover ~6896,CORD_MANAGEMENT_COVER,"PCUPVC1625WH, PCUPVC2540WH, PCUPVC1015WH",2587
PVC Cable Raceway Connector ~6930,HOME_LIGHTING_ACCESSORY,"PCTJ2516WHAPK, PCDC1510WHAPK, PCDC4025WHAPK, PCDC2516WHAPK, PCTJ1510WHAPK, PCTJ4025WHAPK",2438
M16 Female Threaded Lamp Pipe 250mm Hollow Lighting ~6939,Pipe lighting Accessories,"PC16FT250BA, PC16FT250WH, PC16FT250CH, PC16FT250YB",2160
15 x 10mm Cable Trunking Internal Corner Elbow 5 Pack ~6931,CORD_MANAGEMENT_COVER,"PCIC2516WH5PK, PCIC1510WH5PK, PCIC4025WH5PK",1896
Electrical Terminal Conduit Boxes ~6893,ELECTRICAL_HOUSING,"PCTL4204WH3PK, PCTL2202WH3PK, PCTL1201WH5PK, PCTL3203WH3PK, PCTL1201WH3PK, PCTL2202WH5PK, PCTL3203WH5PK, PCTL4204WH5PK",1808
5 inch 8 Hole Sanding Discs 150 Grit Paper Sanding Disc ~2347,Lighting Accessories,"SDP150DC5PK, SDP150DCAPK, SDP150DCCPK",1387
Cable Raceway L Connector ~6906,CORD_MANAGEMENT_COVER,"PCFC1510WHAPK, PCFC2516WHAPK, PCFC4025WHAPK",1285
LED Conduit Couplers for Electrical Connections ~6892,HOME_LIGHTING_ACCESSORY,"PCCPL20WH5PK, PCCPL25WH5PK",1277
7W LED Spotlight Bulb GU10 ~6862,LIGHT_BULB,"LPMC50CW7W5PK, LPMC50CW7WAPK",1050
On Off Pull Switch Easy Install 16A ~6627,Pull chain switch,SWPC1GWHBR,1000
Heavy Duty Masonry Fixings for Brick Concrete ~6890,PLUG_STOPPER,"RWHX08BTOR, RWHX10BTBL",1000
Wall Anchors and Screws Set  ~6891,PLUG_STOPPER,"RWHX08BGGY, RWHX10BGGY",997
Industrial Single Point Drop Vintage Metal Ceiling Rose with Switch ~5495,Ceiling Rose,"CRSF100SWH, CRSF100SBM",962
E14 Clear Cylindrical Replacement Glass Shade ~6628,LIGHT_FIXTURE,"LSGL15014CL, LSGL6016CL2PK, LSGL6016CL3PK, LSGL6016CL5PK",804
LED Conduit 20mm/ 25mm White PVC Female Conduit Adaptor ~6897,HOSE_PIPE_FITTING,"PCCO25WH5PK, PCCO20WH5PK",795
PVC Pipe T-Shaped 3 Way Coupling Connector ~6887,HOSE_PIPE_FITTING,"PCTEL20WH5PK, PCTEL25WH5PK",634
Conduit Box Lid with Screws ~6895,ELECTRICAL_HOUSING,"PCM412WHAPK, PCM412WH5PK",600
