sku,price,compare_at_price,inventory_qty,product_title
24IP6736,9.80,,128,Power Supply Transformer DC24V IP67 36W ~3371
24IP6720,9.49,,100,IP67 DC 24V 20W LED Driver Constant Voltage Power Supply Transformer~3348
12IP2060,8.89,,37,AC 100/240V to DC12V 60W Regulated Switching Power Supply Driver ~3342
12IP2080,7.99,,87,AC 100/240V to DC12V 80W Regulated Switching Power Supply Driver   ~3341
12IP20300,26.89,,7,AC 100/240V to DC12V 300W Regulated Switching Power Supply Driver~3335
12MIP20100,11.09,,91,100W Universal LED Power Supply Transformer 12V DC Led Transformer~3330
12MIP20150,12.79,,50,IP20 AC 110/220V to DC12V 150W Mini Switching Power Supply Driver ~3328
12MIP20180,13.59,,74,DC12V Mini Universal15 Amp Transformer 180W for Led Lights~3327
12MIP20200,13.85,,107,12V Power Supply 200W 16.7A Metal LED Driver ~3326
CCBC5,4.89,,633,5W DC 14-19V 280mAmp LED Driver Constant Current Transformer~3323
CCBKNWE7,4.29,,465,LED Driver 12-26V 7W Constant Current 300mA Compact Transformer ~3316
24IP20240,19.19,,17,DC 24V IP20 240W 10A Constant Voltage LED Transformer~3307
24IP67120,18.69,,162,IP67 DC 24V 120W 5A LED Driver Constant Power Supply Transformer~3306
24IP6760,14.39,,86,Professional IP67 Waterproof 24V DC Constant Voltage LED Driver~3304
24IP6750,11.79,,163,IP67 DC 24V 50W LED Driver Constant Voltage Power Supply Transformer ~3303
24IP6710,4.89,,102,IP67 DC 24V 10W LED Driver Constant Voltage Power Supply Transformer ~3295
24IP20200,16.49,,103,24V 200W 8.33A LED Driver LED Transformer AC to DC ~3292
5IP20300,19.59,,288,DC 5V 60A 300W Power Supply Switch AC 110V/220V Switching Converter ~ 3276
CL2RGL,2.19,,437,1m/5m/10m 2core Round Vintage Braided Fabric Light Gold Colour Cable Flex 0.75mm~3229
CL2RGL5PK,9.99,,47,1m/5m/10m 2core Round Vintage Braided Fabric Light Gold Colour Cable Flex 0.75mm~3229
CL2RGLAPK,19.89,,18,1m/5m/10m 2core Round Vintage Braided Fabric Light Gold Colour Cable Flex 0.75mm~3229
CL2RBK5PK,8.39,,15,Dark Brown 2 Core Round Fabric Lamp Cord -0.75mm~4685
CL2RBKAPK,14.19,,22,Dark Brown 2 Core Round Fabric Lamp Cord -0.75mm~4685
ENC7884,18.79,,73,Modern Vintage Industrial Retro Metal Lamp Shade Loft Blue Pendant Ceiling Light ~3148
CRSF100BM,4.45,,7307,Black Industrial Lighting Ceiling Rose Pendant ~3108
CRSF100WH,4.48,,86,White Ceiling Rose Light Vintage Industrial~3105
CRSF100BL,4.98,,5,Blue Metal Ceiling Rose Vintage Industrial Pendant~3099
CRSF100GB,4.48,,969,Green Brass Vintage Fitting Ceiling Rose Metal~3097
CRSF100BM,4.45,,7307,Black Single Point Drop Vintage Ceiling Rose~3095
CRSF100GB,4.48,,969,Green Brass 100mm Ceiling Rose | Vintage Single Outlet Metal Canopy ~3093
CRFF108WH,5.48,,40,Ceiling Rose Canopy 108 Diameter ~3090
LDMST64E2782PK,7.89,,565,Vintage LED E27 ST64 8W Bulb Dimmable Filament Light Bulb Lamp Squirrel Cage~3088
LDMST64E2785PK,17.99,,226,Vintage LED E27 ST64 8W Bulb Dimmable Filament Light Bulb Lamp Squirrel Cage~3088
LDMST64E2788PK,28.29,,141,Vintage LED E27 ST64 8W Bulb Dimmable Filament Light Bulb Lamp Squirrel Cage~3088
LDMG95E2745PK,14.55,,1264,Vintage LED E27 G95 Filament Bulb 4W Globe Dimmable Light Bulb UK ~3087
CL3RBT,2.37,,531,1M/5M/10M 3 core Round Vintage Braided Fabric Blue Cable Flex 0.75mm~3033
CL3RBT5PK,9.80,,13,1M/5M/10M 3 core Round Vintage Braided Fabric Blue Cable Flex 0.75mm~3033
CL3RBTAPK,18.80,,51,1M/5M/10M 3 core Round Vintage Braided Fabric Blue Cable Flex 0.75mm~3033
CL2RSI5PK,11.59,,18,1m/5m/10m 2 core Round Shiny Pink Italian Vintage Coloured 0.75~1405
CL2RSIAPK,20.59,,39,1m/5m/10m 2 core Round Shiny Pink Italian Vintage Coloured 0.75~1405
CL2RCR,1.29,,574,1m/5m/10m 2 Core Round 0.75mm Vintage Braided Cream Fabric Covered lamp cord~3031
CL2RCR5PK,7.99,,53,1m/5m/10m 2 Core Round 0.75mm Vintage Braided Cream Fabric Covered lamp cord~3031
CL2RCRAPK,12.29,,70,1m/5m/10m 2 Core Round 0.75mm Vintage Braided Cream Fabric Covered lamp cord~3031
CL2RBD,2.59,,531,1m/5m/10m 2 Core Braided Electrical Cable~3213
CL2RBD5PK,11.59,,106,1m/5m/10m 2 Core Braided Electrical Cable~3213
CL2RBDAPK,20.59,,39,1m/5m/10m 2 Core Braided Electrical Cable~3213
CL3TMD,2.79,,88,3 Core Twisted Brown Multi Tweed Vintage Electric fabric Cable Flex 0.75mm~3004
LHBGE27BM,1.49,,1340,E27 Lamp Holder Black Bakelite with Ring ~2987
LHCCE27GR,5.48,,205,Vintage E27 Green Bulb Holder Industrial Retro Edison Porcelain Lamp Light Fitting~2980
LHCCE27BM,5.39,,525,Vintage E27 Black Bulb Holder Industrial Retro Edison Porcelain Lamp Light Fitting~2978
LHCCE27RE,5.48,,70,Vintage E27 Red Bulb Holder Industrial Retro Edison Porcelain Lamp Light Fitting~2976
LHC1E27WH,3.89,,1482,White Ceramic E27 Lamp Holder (High Heat Resistance) ~2966
LHNHE27GB,4.19,,67,Antique Brass Bottle E27 Edison Lamp Holder~2956
LHNHE27YB,4.19,,47,Antique Brass Bottle E27 Edison Lamp Holder~2956
LHNHE27CH,4.19,,36,Antique Brass Bottle E27 Edison Lamp Holder~2956
LHNHE27GB,4.19,,67,E27 Green Brass Vintage Industrial Lamp Light Bulb Holder Antique Retro Edison E27 Fitting~2955
LHCHE27YB,5.99,,23,Yellow Brass Vintage Industrial Lamp Light Bulb Holder Antique Retro Edison ES E27 Fitting~2949
LHCBE27BY,7.49,,33,Ceiling Light Black E27 Edison bulb holder For Decoration Bulb~2944
LHSPE27YB,5.19,,7,Yellow Brass E27 Fitting Vintage Industrial Lamp Light Bulb Holder Antique Retro Edison Bulb~2942
LHSPE27CO,5.19,,61,Copper E27 Fitting Vintage Industrial Lamp Light Bulb Holder Antique Retro Edison Bulb~2941
LHCNE27RO,5.89,,77,Brass Pendant Bulb Holder - ES E27 Fitting Screwfix~2937
LHCNE27CO,5.89,,106,Brass Pendant Bulb Holder - ES E27 Fitting Screwfix~2937
LHCNE27SN,5.89,,79,Brass Pendant Bulb Holder - ES E27 Fitting Screwfix~2937
LHCNE27BY,5.89,,9,Brass Pendant Bulb Holder - ES E27 Fitting Screwfix~2937
LHCNE27GB,5.89,,78,Brass Pendant Bulb Holder - ES E27 Fitting Screwfix~2937
